Описание;Неисправность
"""Наездил уже 8к, меняем масло, фильтра ну и конечно же дергаем подвеску и т.д. При осмотре подвески было найдено: пыльник правый амортизатора, правый большой верхний Сайлентблок, передний левый нижний рычаг, и подушки двигателя. Было куплено и поменяно: 1. Масло Сомма X-flow type z 5w30 150р 2. Фильтр масленный filtron 35р 3. Фильтр воздушный filtron 40р 4. Подушки двигателя corteco 440р 5. Передний левый нижний рычаг — RTS 170р 6. Правый большой верхний сайлентблок — lempferder 120р 7. Пыльник амортизатора передний правый — BMW 40р""";подвеска
"""Как только начал читать, что стойки стабилизатора на E53 не ходят, они у меня сразу же застучали)) Но ладно, с осени знал, что пыльникам плохо и это был просто вопрос времени. Обычных стоек куча. Но решил попробовать взять на полиуретане. Отзывы противоречивые. А значит самый верный способ попробовать самому. Фирма Нет Износа. Находил очень плохие отзывы на сайленты в косой рычаг от них, но сейчас не об этом. Стойка левая NL306B. Стойка правая NL306A. Замену производил в полевых условиях. Ничего сложного. Не понял зачем протягивать их на загруженной подвеске если тянется резьбовое соединение, а полиуретан как был, так и остаётся неподвижным. Но протянул на загруженной, как минимум, из-за удобства монтажа, опускал на бруски и все снимал и ставил без проблем. Запчасти на фото: 2100328 Запчасти на фото: 305800""";подвеска
"""Всем привет 👋🏼 Наконец маляр освободился, я уже прям заждался, тк в гараже из-за разобранной машины места не осталось совсем, а я же еще и двигатель планировал собрать к лету, желательно 3 🧐 И вот у нас изумительная погода все говно на дорогах высохло, и тут звонок, пригоняй завтра, я в гис метео, там все отлично, машина то без стекл, багажника, к тому же пока она ждала своей очереди я ее отмыл везде куда только смог подлезть, и было бы обидно обосрать это все… Утро дня Х подхожу утром к окну… А там лютая метель С.У.К.А! Бр я такую погоду давно не видела Но деваться некуда, грузим машину на эвакуатор, чехлим машину, благо был чехол и со скоростью 40км/ч выдвигаемся, три раза порывами ветра срывало чехол, мы его натягивали и ехали дальше. Погода кайф Ссука! Все обошлось машина приехала чистая, на дороги не успели насыпать эту мерзость. Вчера я отвез в малярку новый передний бампер, тк мой уехал в Москву с ягодкой. И жду каких-то промежуточных итогов мне обещали 1-1.5 месяца покрасить машину, я очень на это надеюсь, а пока освободилось место в гараже, начал сборку запасного двигателя Первый раз пока все идет не плохо так же параллельно 1м на косметических процедурах по днищу, я как всегда веду несколько проектов одновременно 🤦🏻‍♂️ Ставим ♥️ репост будет много интересного ) P.s. Любите свои автомобили и они ответят вам взаимностью ♥️""";неисправность отсутствует
"""Всем привет, есть идея переодеть авто в м Пак — спорт пак, посему запускаю опрос и дербан . Кому нужен заводской x line, ?продам как раздельно так и в сборе, раздельно при условии что найдутся покупатели на весь комплект . В наборе 1-передний бампер в сборе (без омываек) 2-задний бампер 3-Накладки на двери 4шт 4-Решетки радиатора матовый алюминий и насадки на выхлоп матовый алюминий . Ну и соответственно расширители и пороги . ( думаю еще продавать позже накладки на пороги с надпись ) Все оригинал в отличном состоянии !""";неисправность отсутствует
"""После замены противотуманных ламп, захотелось поменять лампы и в ближнем свете. Вот параметры которые я выбрал: Параметры ламп Вид спереди Также когда летом катался на Mini Cooper JCW, понравилась подсветка дверей в виде проекции бренда. Установил и себе такие и вот такой вышел результат: Левая сторона, вид сзади Правая сторона, вид сзади Правая сторона, вид спереди Левая сторона, вид спереди Результатом я более чем доволен. Так же докупил себе INPA для читки ошибок моей БМВ. Сейчас достану свой старый ноутбук и буду скачивать ПО. INPA""";неисправность отсутствует
Задняя панель, состоящая из трех элементов получила повреждения не совместимые с дальнейшей эксплуатацией, поэтому было принято решение замены на новую. Заказали, ждем поставки.;неисправность отсутствует
"""Ошибки после того, как заглох несколько раз. Всем доброго! В общем, постараюсь коротко. Были рывки, нестабильная работа на холостых и звук посторонний. Загнал в сервис. Сказали вентиляция картерных умерла. Поменяли КВКГ, трубки, прокладку. Колечки на форсунки тоже поставили. По ваносам сказали пока нормально, ещё послужат. Забираю машину, двигатель не прогретый, минут 5 поработал, я поехал, а она глохнет. На холостых работает ровно, как жму на тормоз обороты начинают падать до 500, машина на грани, вот вот заглохнет, дергается. Торможу перед ямой, потом плавно даю газу — глохнет. Еду ровно медленно, чуть -чуть газу и снова глохнет. И ещё еле слышный свист, как будто-то взлетаем… В общем за 2 км 4 раза заглохла. Вернул на сервис, на следующий день утром позвонили — всё хорошо. Сказали провода в фишке от старости умерли, мастер поездил, прогрел — у него не глохла. Я забрал, хорошо доехал до дома, без происшествий, только свист этот остался. Вечером опять ехать, машину минуты 3 прогрел, поехал и 3 раза на светофорах заглох, а обратно на горячем двигле опять всё нормально. Думаю, что это связано с температурой и свистом этим. Он давно был, но раньше не глохла. Я уже перечитал много статей, заказал с Али шнурок, чтобы поднять прогревочные холостые обороты, как товарищ Акула расписал, но шнурок шнурком, а проблема есть. Может кто знает в чём дело? Подскажите. Возможно это ДМРВ глючит, (в баке литров 55 было, КХХ новый, ошибок кроме катализаторов и света нет), а может ещё что? Ошибки после удаления аварийного режима АКПП Не знаю от слова совсем!""";система впрыска
"""Вот и дождался) доволен как слон) малой оценил, сказал пойдут😂 напомню по параметрам 9.5 10.5 35/37 вылет, вес одного диска 10.5 кг . Заказал сразу новый комплект резины на лето) 275/30/20 и 245/35/20, и кстати кто сталкивался? Где заказать оригинальные датчики шин? Может у кого ссылка на оригинал есть, либо оч хорошего качества не оригинал, больно не хочется по несколько раз колеса обувать ) всем благ, следующий пост на этих дисках 🔗""";неисправность отсутствует
"""Привык ездить с резиновыми коврами, в любое время года с ними на всех машинах ездил. Но купил машину с ворсовыми, может летом попробую с ними поездить, а сейчас приобрел резиновые. Поискал неоригинальные, но все попадались в диапазоне 3-5 тысяч за все 4 ковра в салон, вид слишком простой и наверняка на этом недостатки не заканчиваются. А дальше сразу оригинальные — в лучшем случае 18к за коврики с высоким бортом в салон + 9к за ковер в багажник. Какие-то крайности. Но оригинальные ковры нравятся внешне. Нашел слегка бу — все 5 за 18к. На этом варианте и остановился""";неисправность отсутствует
"""Всем привет. Давно присматривал себе компрессометр. но дешёвый за 1000 р брать не хотелось, так как за такую цену китаец будет явно врать с показаниями, а дорогой и профессиональный брать давила жаба… И вот, вдруг, на просторах Avito мне попался фирменный компрессометр «Мастак» (120-10008C) за 2800 р… (один раз пользований) — в магазине такой стоит около 7500 рублей и выше. Ну, думаю, нужно брать… Где то через недельку прибор уже был у меня. И вот я принялся его тестить… На машине знакомого проверили компрессию и сверили с показателями его компрессометра — сходятся. Потом стал проверять компрессию на своей бэхе с мотором м50б25 Ванос (bmw e34)… и каково было мое удивление, что компрессия составила (замерял на прогретом моторе): 1 цилиндр — 14,5 кг 2 цилиндр — 13 кг 3 цилиндр — 15.2 кг 4 цилиндр — 14.2 кг 5 цилиндр — 13.5 кг 6 цилиндр — 12.2 кг Товарищи, это нормально?.. Мерил год назад www.drive2.ru/l/669793622534668469/ компрессию на холодную другим манометром (рабочим) была…: Компрессия мотора Измерялась на холодную: 1 цилиндр: 12 кг/см2 2 цилиндр: 10 кг/см2 3 цилиндр: 10.2 кг/см2 4 цилиндр: 10.2 кг/см2 5 цилиндр: 10.9 кг/см2 6 цилиндр: 11 кг/см2 В интернете пишут, что якобы по мануалу должно быть 13.1… Но интернет это дело такое, а оригинальной книжки по бмв у меня нет, где написано какая компрессия должна быть по факту… Пишут, что если компрессия ваше 13 кг, то это якобы масленная, но у меня расход масла не более 500 мл на 5000 км (я основном спокойно езжу без тапка в пол)… антифриз тоже не поджирает. Масло я лью 10w40 Titan Fuchs. Бензин лью с октановым числом 92, потому, что на 95 бензине (при исправных датчиках) расход увеличивается литров примерно на 7 литров на 100 км. (по факту! делал замеры несколько раз!)… То ли у нас в Крыму 95 бензин бродяжный продают, то ли что… Всем спасибо за внимание, отзывы и комментарии.""";кривошипно-шатунный механизм
"""И по традиции вскрытие масленого фильтра Наконец то добрался до своей Белки, накопилось много дел: Замена помпы (давно шумела) Замена роликов Замена ремня Замена масла Воздушный фильтр Сайленблоки нижних рычагов Втулки переднего стаба Ну и конечно же долгожданная чистка выпуска грецким орехом. Выбрали пару свободных дней и на пару LinkinArts с Николаем всё заменили и почистили. После чистки проехал от гаража до дома 6км, разница до и после небо и земля, ход стал плавнее, подрыв с низов и без провалов офигенный. Чистка однозначно делает своё дело. Если кто-то хочет почистить впуск, обращайтесь. Сайлены стояли орига бмв, возможно меняли до меня, а может и родные.Дату на них не разглядел. втулки я уже менял, решил обновить, на клей не сажал. Новая помпа, у старой был люфт и крутилась со звуком как в ведре Впуск до меня никто не чистил Нижняя турбина поношена, но люфтов нет И этим дышит мотор Финишная протирка Все клапана не фоткал, но результат одинаков на всех До После Запчасти на фото: 7DPK1884, 3591101""";система впрыска
"""Всем привет 👋🏼 Ну чего ты приперся? Еще же не весна! Давно тут ничего не писал, тк особо ничего и не делал с машиной Честно говоря вести несколько проектов сильно изматывает и я попытался себе пообещать делать по одному, и пока больше не покупать машин… но Неделю назад серая наконец то поехала на покраску, а в моем сервисе образовалось после новогоднее затишье, и ребята заскучали, если я раньше в очередь записывался то в этот раз они сами мне говорят: А не сделать ли нам рыжую? А я такой: а почему бы и да Небольшие пляски с бубнами, АКБ сел в ноль, и своим ходом по чистейшему снегу В перед в тепло! Снег чистый ☺️ переехали в теплый бокс на процедуры по омоложению, вот собственно самое начало истории, вчера приехали а сегодня она полностью разобрана по низу, Все потихоньку выходит из под машины Подрамник и редуктор в песок и порошок! но как и в прошлый раз с желтком нет напыляемого герметика 🤦🏻‍♂️ но это мы подождем до него еще как до Китая пешком, так что впереди много интересного! Делаем ♥️ и репост скоро будет много интересного и дорогого ремонта 😋 P.s. любите свои автомобили и они ответят вам взаимностью""";неисправность отсутствует
"""Запчасти на фото: 400108 В свое время у меня были подозрения на катушку и я её менял, но тогда дело оказалось не в ней, по истечению какого-то времени свою катушку отдал другу т.к. его начала пробивать. Прошёл почти год и в итоге та самая подменка с моей е36 начала пробивать, начал искать новую катушку, , и за оригу б/у от 10к, новый китай ещё дороже. Расстроился, думал как быть…авито наше все и вот после переезда в МСК нашёл за очень не дорого, меньше стоимости чем пол бака 95го😅После замены она перестала троить, коптить и дёргаться. Хотя небольшие плавания оборотов, свойственные М40-М43 моторам остались.""";система зажигания
"""Эх Европа…кнопка sos и то, с зашитым номером с Беларуси…и не поддерживающий еsim… Короче, в комплектации нет докатки…и я решился на заполнение багажника. Было куплено: Докатка R16 Чехол сумка для докатки Подкатной домкрат на 2,5Т. Почему домкрат на 2,5Т. ? Сама машина +- около 2Т…да тяжелее аппарат, но будет с запасом) Вот так пока что) без домкрата ещё Да…немного не угадал, забыл за то, что нужен чемодан к домкратру…))""";неисправность отсутствует
"""Всем здрасьте)ну что ж медленно но качественно движемся по дооснащению на этот раз оригинальный карбоновый спойлер М3.Впринципе ниче прям особенного в нем нет сейчас много реплик но мне было принципиально оригинал, все же внутри себя понимаешь что на твоей тачке стоит крутая приблуда и от этого кайфово на душе)Ну что ж дальше больше пока в режиме ожидания, как будет чем поделиться обязательно напишу, всем позитива)) Запчасти на фото: 51622159805""";неисправность отсутствует
"""Привет всем! Все началось с того, что я увидел на «авито» объявление: «Подкачка переднего сиденья BMW X3 F25» У меня ведь ее нет… С завода у меня стоят спортивные сиденья с памятью и боковой поддержкой! Хочу подкачку поясницы))) В описании к объявлению написано «подходит на F25 2010-2017г.» Не вникая, как это всё установить, заказываю. Потом захожу в каталог bmw и смотрю, чего мне еще не хватает, а это всего лишь одна кнопка регулировки поясничной опоры — 61 31 8 352 291, заказываю. Как же всё это теперь установить? Ищу посты по дооснащению этой опции и понимаю, какой же я балбес… У меня же рест, а всё что я купил на дорест… Почесав репу, начинаю искать посты по установке на рестайлинговые сиденья, а их нет вообще… Нашел одну запись у NightDesire Искал поддержку для поясницы, а нашёл «геморрой» на задницу :( Автор за три года так и не нашел все детали опции (б/у) и купил передние сиденья уже с этой опцией. Его запись помогла мне получше разобраться, что конкретно нужно для этой опции, но не до конца… Для дооснащения нам нужно: 1) Подушка поясничной опоры 2шт. — 52 10 7 404 139 2) Насос для изменения контура поясничной опоры 2шт. — 52 10 7 392 151 3) Блок с кнопками для водительского сиденья 1шт.- 61 31 9 359 835 4) Блок с кнопками для пассажирского сиденья 1шт. — 61 31 9 276 626 5) Кабель-адаптер поясничной опоры 2шт. — 61 12 9 336 951 По факту все иначе. Каталог вводит в заблуждение. Если стоит боковая поддержка, нужно следующее: 1) Подушка поясничной опоры — 52 10 7 404 139 2) Блок клапанов – G5947 (назовем его так) 3) Тройник — 98664-33000 (Hyundai-KIA, какой идет в оригинале, не нашел.) 4) Кабель-адаптер — 61 12 9 336 951 5) Блок с кнопками (водитель, пассажир) — 61 31 9 359 835 / 61 31 9 276 626 Заводской комплект 2017 года выглядит вот так: Все это просто нереально найти б/у. За новый комплект на два сиденья ценник был от 200тыс. За этот прайс можно купить салон в сборе, но мне это не подходит. Я перерыл все возможные ресурсы. Поиски затянулись больше, чем на год. Результат нулевой… Остался только ebay. Там все это есть. Принимая все риски на себя, заказываю через sdek shopping комплект на одно водительское сиденье, от f26 2017г. Параллельно заказываю из Европы новый кабель-адаптер (61 12 9 336 951) Через два месяца получаю посылку с ebay. Открываю, а там подушка и блок клапанов от e92 — 2011 года… Но, положили блок с кнопками, который мне нужен (61 31 9 359 835) В общем меня налюбили… Разбираться, кто накосячил Sdek или Ebay – смысла нет. Отпускаю ситуацию… Блок управления сиденьем у меня есть, подушка от e92 подходит на f25. Остается найти блок клапанов, который не имеет артикул (G5947) G5947 Такой блок, не найти. Спустя еще два месяца поисков случайно нахожу этот блок на ebay, но стоимость блока отдельно, почти равна стоимости целого комплекта (подушка поясницы, насос, два блока клапанов, кабель адаптер и даже подушки боковой поддержки) Нахожу два комплекта в Америке. Комплект №1 Комплект №2 Снова заказываю, но уже через знакомых. Выкупаю 04.12.2024 и уже 15.01.2025 я забрал заказ. Glacier National Park Даже открытку положили)) Остается всё это установить и закодировать. Но об этом в следующей записи. Не переключайтесь.""";неисправность отсутствует
